,time,Alleymultiproxy
107,-7043.23,0.44719799139167904
108,-7043.23,0.41619799139168023
109,-7008.94,0.8201979913916801
110,-6991.52,1.2681979913916805
111,-6974.97,1.5681979913916813
112,-6974.97,1.6051979913916803
113,-6958.35,1.6761979913916818
114,-6942.31,1.8181979913916813
115,-6925.52,1.9111979913916812
116,-6909.89,1.7601979913916814
117,-6893.93,1.7491979913916822
118,-6877.12,1.7421979913916807
119,-6860.83,1.5101979913916814
120,-6843.55,1.3281979913916793
121,-6826.14,1.3181979913916813
122,-6809.46,1.3021979913916795
123,-6792.28,1.0701979913916801
124,-6776.29,0.7671979913916793
125,-6759.23,0.6121979913916817
126,-6743.47,0.3991979913916808
127,-6727.16,0.11919799139167964
128,-6711.02,-0.11080200860832079
129,-6695.54,-0.23780200860831968
130,-6679.15,-0.19980200860831943
131,-6663.22,-0.17380200860831962
132,-6647.79,-0.1628020086083204
133,-6632.07,-0.07880200860832076
134,-6615.83,-0.15380200860832005
135,-6600.5,-0.3628020086083197
136,-6585.25,-0.34880200860832034
137,-6569.5,-0.1838020086083212
138,-6553.45,-0.17780200860832096
139,-6538.22,-0.23980200860831857
140,-6521.76,-0.13280200860831926
141,-6505.69,0.033197991391681114
142,-6489.84,0.1791979913916819
143,-6469.42,0.2091979913916795
144,-6454.1,0.07119799139168137
145,-6441.71,-0.04980200860832085
146,-6426.44,-0.1398020086083207
147,-6411.31,-0.23480200860831957
148,-6395.76,-0.2618020086083206
149,-6380.53,-0.14880200860832105
150,-6365.1,-0.1398020086083207
151,-6348.87,-0.19280200860831798
152,-6333.71,-0.10280200860831812
153,-6318.32,-0.018802008608318488
154,-6301.84,0.009197991391680205
155,-6285.33,-0.10180200860832045
156,-6268.72,-0.3838020086083205
157,-6253.05,-0.3978020086083198
158,-6236.64,-0.219802008608319
159,-6220.51,-0.1918020086083203
160,-6205.87,-0.15880200860831906
161,-6191.86,-0.07880200860832076
162,-6176.14,0.06819799139168126
163,-6160.34,0.08819799139168083
164,-6144.18,0.09419799139168106
165,-6127.64,0.1531979913916821
166,-6111.94,0.21819799139167984
167,-6096.23,0.07819799139167927
168,-6080.86,-0.02980200860831772
169,-6065.53,0.017197991391679324
170,-6050.12,0.12519799139167986
171,-6034.96,0.3741979913916822
172,-6020.9,0.5221979913916819
173,-6005.96,0.4281979913916807
174,-5990.83,0.3991979913916808
175,-5975.73,0.45019799139167915
176,-5960.34,0.5151979913916804
177,-5945.35,0.4281979913916807
178,-5930.389999999999,0.3311979913916794
179,-5915.58,0.2931979913916791
180,-5900.23,0.19719799139167904
181,-5884.49,0.1101979913916793
182,-5869.23,0.14519799139167944
183,-5854.63,0.2041979913916805
184,-5839.0,0.26919799139168177
185,-5822.530000000001,0.14319799139168055
186,-5807.73,0.034197991391678784
187,-5791.24,0.20319799139167927
188,-5775.280000000001,0.31519799139168114
189,-5759.66,0.3341979913916795
190,-5743.860000000001,0.3331979913916818
191,-5727.68,0.39619799139168066
192,-5711.58,0.5221979913916819
193,-5696.51,0.5281979913916821
194,-5681.3099999999995,0.5931979913916798
195,-5665.74,0.7091979913916795
196,-5650.76,0.8041979913916819
197,-5636.04,0.8291979913916805
198,-5621.63,0.7101979913916807
