Site,Age (yr bp1950),T annual anom (oC),
GISP2,1718.66,0.231,
GISP2,1723.70,0.174,
GISP2,1728.74,0.136,
GISP2,1733.78,0.130,
GISP2,1738.83,0.153,
GISP2,1743.87,0.187,
GISP2,1748.91,0.205,
GISP2,1753.96,0.173,
GISP2,1759.00,0.090,
GISP2,1764.05,-0.005,
GISP2,1769.10,-0.082,
GISP2,1774.14,-0.111,
GISP2,1779.19,-0.083,
GISP2,1784.24,-0.014,
GISP2,1789.29,0.092,
GISP2,1794.33,0.223,
GISP2,1799.38,0.359,
GISP2,1804.43,0.493,
GISP2,1809.48,0.627,
GISP2,1814.53,0.772,
GISP2,1819.58,0.909,
GISP2,1824.63,1.007,
GISP2,1829.69,1.066,
GISP2,1834.74,1.104,
GISP2,1839.79,1.143,
GISP2,1844.84,1.169,
GISP2,1849.89,1.173,
GISP2,1854.94,1.195,
GISP2,1859.99,1.270,
GISP2,1865.04,1.413,
GISP2,1870.09,1.585,
GISP2,1875.14,1.708,
GISP2,1880.19,1.751,
GISP2,1885.24,1.733,
GISP2,1890.29,1.670,
GISP2,1895.34,1.571,
GISP2,1900.39,1.425,
GISP2,1905.44,1.258,
GISP2,1910.48,1.119,
GISP2,1915.53,1.029,
GISP2,1920.58,0.967,
GISP2,1925.62,0.930,
GISP2,1930.66,0.939,
GISP2,1935.71,0.998,
GISP2,1940.75,1.074,
GISP2,1945.79,1.156,
GISP2,1950.83,1.257,
GISP2,1955.87,1.386,
GISP2,1960.91,1.530,
GISP2,1965.95,1.642,
GISP2,1970.98,1.676,
GISP2,1976.02,1.624,
GISP2,1981.05,1.510,
GISP2,1986.08,1.364,
GISP2,1991.11,1.210,
GISP2,1996.14,1.061,
GISP2,2001.17,0.914,
GISP2,2006.20,0.775,
GISP2,2011.22,0.699,
GISP2,2016.24,0.719,
GISP2,2021.27,0.807,
GISP2,2026.29,0.902,
GISP2,2031.30,0.995,
GISP2,2036.32,1.128,
GISP2,2041.33,1.309,
GISP2,2046.35,1.479,
GISP2,2051.36,1.575,
GISP2,2056.37,1.594,
GISP2,2061.37,1.587,
GISP2,2066.38,1.571,
GISP2,2071.38,1.531,
GISP2,2076.38,1.480,
GISP2,2081.37,1.460,
GISP2,2086.37,1.476,
GISP2,2091.36,1.480,
GISP2,2096.35,1.421,
GISP2,2101.34,1.300,
GISP2,2106.33,1.153,
GISP2,2111.31,1.001,
GISP2,2116.29,0.835,
GISP2,2121.27,0.651,
GISP2,2126.25,0.484,
GISP2,2131.23,0.386,
GISP2,2136.20,0.356,
GISP2,2141.18,0.362,
GISP2,2146.15,0.389,
GISP2,2151.12,0.442,
GISP2,2156.09,0.527,
GISP2,2161.06,0.637,
GISP2,2166.03,0.759,
GISP2,2170.99,0.885,
GISP2,2175.96,0.998,
GISP2,2180.92,1.102,
GISP2,2185.89,1.208,
GISP2,2190.85,1.322,
GISP2,2195.81,1.453,
GISP2,2200.78,1.592,
GISP2,2205.74,1.707,
GISP2,2210.70,1.774,
GISP2,2215.66,1.799,
GISP2,2220.62,1.801,
GISP2,2225.59,1.771,
GISP2,2230.55,1.685,
GISP2,2235.51,1.536,
GISP2,2240.47,1.333,
GISP2,2245.43,1.106,
GISP2,2250.40,0.887,
GISP2,2255.36,0.684,
GISP2,2260.32,0.508,
GISP2,2265.29,0.403,
GISP2,2270.25,0.413,
GISP2,2275.22,0.532,
GISP2,2280.18,0.708,
GISP2,2285.15,0.898,
GISP2,2290.12,1.063,
GISP2,2295.09,1.167,
GISP2,2300.06,1.203,
GISP2,2305.03,1.187,
GISP2,2310.00,1.148,
GISP2,2314.98,1.121,
GISP2,2319.96,1.133,
GISP2,2324.93,1.202,
GISP2,2329.91,1.335,
GISP2,2334.89,1.522,
GISP2,2339.88,1.727,
GISP2,2344.86,1.911,
GISP2,2349.85,2.052,
GISP2,2354.84,2.128,
GISP2,2359.83,2.132,
GISP2,2364.82,2.075,
GISP2,2369.82,1.975,
GISP2,2374.82,1.851,
GISP2,2379.82,1.707,
GISP2,2384.82,1.541,
GISP2,2389.83,1.364,
GISP2,2394.84,1.187,
GISP2,2399.85,1.037,
GISP2,2404.86,0.945,
GISP2,2409.87,0.903,
GISP2,2414.88,0.876,
GISP2,2419.89,0.829,
GISP2,2424.90,0.760,
