time,wu_tsi
-5315,1360.68165
-5305,1360.6086
-5295,1360.5987
-5285,1360.6168499999999
-5275,1360.66955
-5265,1360.7317500000001
-5255,1360.777
-5245,1360.8184999999999
-5235,1360.86335
-5225,1360.93315
-5215,1360.99045
-5205,1361.13735
-5195,1361.31165
-5185,1361.4118999999998
-5175,1361.4396499999998
-5165,1361.46825
-5155,1361.47385
-5145,1361.467
-5135,1361.4707
-5125,1361.47205
-5115,1361.4778000000001
-5105,1361.5300999999997
-5095,1361.5786
-5085,1361.6258500000001
-5075,1361.54395
-5065,1361.3356500000002
-5055,1361.15075
-5045,1361.0528
-5035,1361.0631500000002
-5025,1361.1895
-5015,1361.3642499999999
-5005,1361.4597500000002
-4995,1361.4602
-4985,1361.3448999999998
-4975,1361.1858
-4965,1361.133
-4955,1361.16425
-4945,1361.2432000000001
-4935,1361.3318999999997
-4925,1361.4138
-4915,1361.4570500000002
-4905,1361.40685
-4895,1361.2827000000002
-4885,1361.1266
-4875,1360.97755
-4865,1360.8754000000001
-4855,1360.82555
-4845,1360.7669
-4835,1360.6709
-4825,1360.61495
-4815,1360.6373
-4805,1360.67965
-4795,1360.6991499999997
-4785,1360.7089499999997
-4775,1360.8542499999999
-4765,1361.1278499999999
-4755,1361.3211000000001
-4745,1361.3780000000002
-4735,1361.4078
-4725,1361.38405
-4715,1361.3397000000002
-4705,1361.2962
-4695,1361.2923499999997
-4685,1361.3037499999998
-4675,1361.3292500000002
-4665,1361.3304
-4655,1361.2836000000002
-4645,1361.2628
-4635,1361.2865499999998
-4625,1361.2764499999998
-4615,1361.29545
-4605,1361.3238000000001
-4595,1361.29675
-4585,1361.1712499999999
-4575,1361.1291999999999
-4565,1361.22045
-4555,1361.3409500000002
-4545,1361.30125
-4535,1361.12775
-4525,1360.9342499999998
-4515,1360.85735
-4505,1360.90515
-4495,1361.0435000000002
-4485,1361.2236
-4475,1361.35225
-4465,1361.41185
-4455,1361.30205
-4445,1361.1409499999997
-4435,1361.0144
-4425,1360.8797
-4415,1360.795
-4405,1360.8642499999999
-4395,1360.9845999999998
-4385,1361.05885
-4375,1361.088
-4365,1361.05805
-4355,1361.0119999999997
-4345,1361.0917
-4335,1361.2583499999998
-4325,1361.3516
-4315,1361.3150999999998
-4305,1361.24755
-4295,1361.1785499999999
-4285,1361.1961000000001
-4275,1361.2605500000002
-4265,1361.2591
-4255,1361.12715
-4245,1360.9925
-4235,1360.9564
-4225,1361.02805
-4215,1361.13535
-4205,1361.2481999999998
-4195,1361.2847500000003
-4185,1361.2314500000002
-4175,1361.1924000000001
-4165,1361.1237500000002
-4155,1361.0031999999997
-4145,1360.98205
-4135,1361.07925
-4125,1361.2030499999998
-4115,1361.2783000000002
-4105,1361.2341000000001
-4095,1361.065
-4085,1360.9455500000001
-4075,1360.9517499999997
-4065,1361.0235500000003
-4055,1361.1583500000002
-4045,1361.3285999999998
-4035,1361.4696500000002
-4025,1361.53985
-4015,1361.5412499999998
-4005,1361.4414499999998
-3995,1361.29105
-3985,1361.1625000000001
-3975,1361.1186000000002
-3965,1361.1905499999998
-3955,1361.29305
-3945,1361.3295000000003
-3935,1361.2861500000001
-3925,1361.2767
-3915,1361.3202499999998
-3905,1361.2601
-3895,1361.123
-3885,1361.0769
-3875,1361.1512500000001
-3865,1361.2601
-3855,1361.30225
-3845,1361.2204
-3835,1361.05915
-3825,1360.9497000000001
-3815,1360.9987
-3805,1361.1797999999997
-3795,1361.36045
-3785,1361.3932499999999
-3775,1361.3128999999997
-3765,1361.23755
-3755,1361.21865
-3745,1361.2268
-3735,1361.1825000000001
-3725,1361.1593
-3715,1361.15005
-3705,1361.1336999999999
-3695,1361.12435
-3685,1361.1688500000002
-3675,1361.2318
-3665,1361.28825
-3655,1361.3015
-3645,1361.2409499999999
-3635,1361.1743
-3625,1361.1591999999998
-3615,1361.1369
-3605,1361.13185
-3595,1361.1342499999998
-3585,1361.087
-3575,1361.0340999999999
-3565,1360.97915
-3555,1360.9871
-3545,1361.0895500000001
-3535,1361.2075500000003
-3525,1361.29715
-3515,1361.36255
-3505,1361.3467500000002
-3495,1361.272
-3485,1361.16165
-3475,1361.08525
-3465,1361.0330000000001
-3455,1360.9596999999999
-3445,1360.9377
-3435,1361.0698000000002
-3425,1361.1628500000002
-3415,1361.0804500000002
-3405,1360.9799500000001
-3395,1360.9112
-3385,1360.8531
-3375,1360.8166
-3365,1360.7833500000002
-3355,1360.74775
-3345,1360.7308
-3335,1360.7516500000002
-3325,1360.8103
-3315,1360.8688000000002
-3305,1360.90715
-3295,1360.9900499999999
-3285,1361.13715
-3275,1361.2148000000002
-3265,1361.19185
-3255,1361.1349999999998
-3245,1361.0851000000002
-3235,1361.0726499999998
-3225,1361.12145
-3215,1361.1443999999997
-3205,1361.13475
-3195,1361.12855
-3185,1361.1445500000002
-3175,1361.1347
-3165,1361.07025
-3155,1361.0184000000002
-3145,1360.9742
-3135,1360.9713
-3125,1361.0358
-3115,1361.1071
-3105,1361.19535
-3095,1361.28825
-3085,1361.2845499999999
-3075,1361.2115
-3065,1361.15365
-3055,1361.1239499999997
-3045,1361.10815
-3035,1361.08765
-3025,1361.0616999999997
-3015,1361.02175
-3005,1360.99395
-2995,1360.9991
-2985,1361.047
-2975,1361.0581
-2965,1360.9899
-2955,1360.86705
-2945,1360.7830500000002
-2935,1360.7432000000001
-2925,1360.7672499999999
-2915,1360.91485
-2905,1361.0721999999998
-2895,1361.1018
-2885,1361.0863499999998
-2875,1361.03375
-2865,1360.8927
-2855,1360.8105
-2845,1360.8344499999998
-2835,1360.9529
-2825,1361.16245
-2815,1361.3508
-2805,1361.3390499999998
-2795,1361.1619
-2785,1360.9778000000001
-2775,1360.83305
-2765,1360.6769499999998
-2755,1360.5219
-2745,1360.4248499999999
-2735,1360.40155
-2725,1360.4015000000002
-2715,1360.4192500000001
-2705,1360.4549
-2695,1360.4873000000002
-2685,1360.5185500000002
-2675,1360.56295
-2665,1360.66535
-2655,1360.8713999999998
-2645,1361.1293
-2635,1361.1934500000002
-2625,1360.9936
-2615,1360.84185
-2605,1360.9342999999997
-2595,1361.1625999999999
-2585,1361.3600499999998
-2575,1361.41735
-2565,1361.3320500000002
-2555,1361.2967999999998
-2545,1361.2971499999999
-2535,1361.3195999999998
-2525,1361.2944000000002
-2515,1361.1784000000002
-2505,1361.0241999999998
-2495,1360.91975
-2485,1360.9661999999998
-2475,1361.0852000000002
