id,tau,E,train_len,train_ind_i,knn,Tp_flag,Tp,lag,Tp_lag_total,sample,weighted,target_var,col_var,surr_var,surr_num,col_var_id,target_var_id
1786473082854,1,6,,0,20,,1,17,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082855,1,6,,0,20,,1,18,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082856,1,6,,0,20,,1,19,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082858,1,6,,0,20,,1,20,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082859,1,6,,0,20,,1,21,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082860,1,6,,0,20,,1,22,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082861,1,6,,0,20,,1,23,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082863,1,6,,0,20,,1,24,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082864,1,6,,0,20,,1,25,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082865,1,6,,0,20,,1,26,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082866,1,6,,0,20,,1,27,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082868,1,6,,0,20,,1,28,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082869,1,6,,0,20,,1,29,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082870,1,6,,0,20,,1,30,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082872,1,6,,0,20,,1,31,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082873,1,6,,0,20,,1,32,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082874,1,6,,0,20,,1,33,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082875,1,6,,0,20,,1,34,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082877,1,6,,0,20,,1,35,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082878,1,6,,0,20,,1,36,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082879,1,6,,0,20,,1,37,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082880,1,6,,0,20,,1,38,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082882,1,6,,0,20,,1,39,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082883,1,6,,0,20,,1,40,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082884,1,7,,0,20,,1,-41,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082886,1,7,,0,20,,1,-40,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082887,1,7,,0,20,,1,-39,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082888,1,7,,0,20,,1,-38,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082889,1,7,,0,20,,1,-37,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082891,1,7,,0,20,,1,-36,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082892,1,7,,0,20,,1,-35,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082893,1,7,,0,20,,1,-34,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082894,1,7,,0,20,,1,-33,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082896,1,7,,0,20,,1,-32,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
