col_var_id,target_var_id,E,tau,lag,surr_var,min_surr_num,max_surr_num
Erb22daGMST,Wu18TSI,5,2,27,neither,0,0
Erb22daGMST,Wu18TSI,5,2,28,neither,0,0
Erb22daGMST,Wu18TSI,5,2,29,neither,0,0
Erb22daGMST,Wu18TSI,5,2,30,neither,0,0
Erb22daGMST,Wu18TSI,5,2,31,neither,0,0
Erb22daGMST,Wu18TSI,5,2,32,neither,0,0
Erb22daGMST,Wu18TSI,5,2,33,neither,0,0
Erb22daGMST,Wu18TSI,5,2,34,neither,0,0
Erb22daGMST,Wu18TSI,5,2,35,neither,0,0
Erb22daGMST,Wu18TSI,5,2,36,neither,0,0
Erb22daGMST,Wu18TSI,5,2,37,neither,0,0
Erb22daGMST,Wu18TSI,5,2,38,neither,0,0
Erb22daGMST,Wu18TSI,5,2,39,neither,0,0
Erb22daGMST,Wu18TSI,5,2,40,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-41,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-40,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-39,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-38,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-37,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-36,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-35,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-34,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-33,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-32,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-31,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-30,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-29,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-28,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-27,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-26,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-25,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-24,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-23,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-22,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-21,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-20,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-19,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-18,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-17,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-16,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-15,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-14,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-13,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-12,neither,0,0
Erb22daGMST,Wu18TSI,5,3,-11,neither,0,0
