,time,seierstad14gisp2d18o1kyrfir
198,-6065,-0.4931216552742995
199,-6055,-0.36844204316847207
200,-6045,-0.21453534167572808
201,-6035,-0.024909886728211067
202,-6025,0.007126062275631232
203,-6015,-0.15340782528884112
204,-6005,-0.1957100487366963
205,-5995,-0.0934764768924196
206,-5985,0.03698436312407405
207,-5975,0.20193531519785407
208,-5965,0.23090544804119234
209,-5955,0.09364276627772218
210,-5945,0.03434648604407954
211,-5935,0.07020220453180949
212,-5925,0.12084066891682393
213,-5915,0.1895527466533454
214,-5905,0.15153548276583834
215,-5895,-0.01698030768046299
216,-5885,-0.09521348283886363
217,-5875,-0.06315142203976659
218,-5865,-0.006098838881450748
219,-5855,0.08152607244699661
220,-5845,0.1447828975673376
221,-5835,0.17813304334123564
222,-5825,0.1273516435763056
223,-5815,-0.026364716362190843
224,-5805,-0.1550763519078783
225,-5795,-0.25326899314874235
226,-5785,-0.24082076658577486
227,-5775,-0.09317077754281775
228,-5765,-0.007042724342943292
229,-5755,0.0037088071587793973
230,-5745,0.020240234104073045
231,-5735,0.04377886995375155
232,-5725,-0.007941903940016391
233,-5715,-0.15168285859293815
234,-5705,-0.19508089303037052
235,-5695,-0.11585139208640877
236,-5685,-0.04202834917261988
237,-5675,0.02518730719713498
238,-5665,0.06334323897308654
239,-5655,0.06584688701499661
240,-5645,0.09659742061157406
241,-5635,0.1618260491686957
242,-5625,0.15164647481193738
243,-5615,0.04926188040262275
244,-5605,-0.0014352813237546412
245,-5595,0.011071407037156925
246,-5585,0.0438428809376845
247,-5575,0.10143436286828611
248,-5565,0.14318481844647807
249,-5555,0.1655639737831564
250,-5545,0.1720820814378181
251,-5535,0.1591922371824423
252,-5525,0.15749619270308798
253,-5515,0.16952051359230097
254,-5505,0.178038863535582
255,-5495,0.182326917236732
256,-5485,0.19880905251512837
257,-5475,0.23016889497563875
258,-5465,0.23763305105934723
259,-5455,0.21598345318966872
260,-5445,0.13901488506443724
261,-5435,-0.005512852152493086
262,-5425,-0.06697422323325813
263,-5415,-0.026918664611860377
264,-5405,-0.012024012215151869
265,-5395,-0.027749413303959303
266,-5385,-0.14610253626716885
267,-5375,-0.38977658690765254
268,-5365,-0.5626796239699936
269,-5355,-0.6490573873479464
270,-5345,-0.5994394415861681
271,-5335,-0.383487822724222
272,-5325,-0.23963787713036697
273,-5315,-0.1839098364983787
274,-5305,-0.1756619582984566
275,-5295,-0.22542368010082892
276,-5285,-0.25739364490637745
277,-5275,-0.26746059118173415
278,-5265,-0.31802631864039044
279,-5255,-0.4180166717058362
280,-5245,-0.29847513494740524
281,-5235,0.08934633134387304
282,-5225,0.22956556806518796
283,-5215,0.06714092844050012
284,-5205,-0.02097954680116247
285,-5195,-0.01814796408688918
286,-5185,0.03662180823373257
287,-5175,0.15484786339188295
288,-5165,0.255254061095778
289,-5155,0.33383701273769817
290,-5145,0.3484685179240352
291,-5135,0.28496045515939106
292,-5125,0.2352053770208306
293,-5115,0.2022039853121436
294,-5105,0.19419622454397154
295,-5095,0.21669967788360522
296,-5085,0.13031250554757173
297,-5075,-0.08919063895213263
298,-5065,-0.21491391675429022
299,-5055,-0.22597833471236423
300,-5045,-0.1522260979732127
301,-5035,0.02504158330921498
302,-5025,0.123949002360962
303,-5015,0.12699533125988277
304,-5005,0.0899516824143021
305,-4995,0.0038258396090251473
306,-4985,-0.032398553409206166
307,-4975,-0.007714014207470737
308,-4965,-0.009694851769335919
309,-4955,-0.044382629474029184
310,-4945,0.0011636915423527128
311,-4935,0.1446633964082444
312,-4925,0.2287996705515981
313,-4915,0.24036653754604748
314,-4905,0.24436641464300293
315,-4895,0.2390371959792124
316,-4885,0.2565152734904779
317,-4875,0.3017911392806121
318,-4865,0.33386121892749837
319,-4855,0.3497010722216104
320,-4845,0.35003030327824114
321,-4835,0.3312831863030024
322,-4825,0.24397819617217317
323,-4815,0.07279440438810464
324,-4805,-0.02303002286766792
325,-4795,-0.026754720089609635
326,-4785,-0.0722036943641946
327,-4775,-0.1686835269213066
328,-4765,-0.2652476065599695
329,-4755,-0.3619843888451643
330,-4745,-0.41047259417767296
331,-4735,-0.39991706180424047
332,-4725,-0.346717664145924
333,-4715,-0.24139173041509332
334,-4705,-0.12054763443280536
335,-4695,0.019205375235136185
336,-4685,0.129398699271761
337,-4675,0.2035221521680106
338,-4665,0.16250022272275655
339,-4655,-0.019214302418982948
340,-4645,-0.2543094138372914
341,-4635,-0.5546275010504205
342,-4625,-0.6303526724729989
343,-4615,-0.43146149815836254
344,-4605,-0.27700233424216325
345,-4595,-0.17672699228579308
346,-4585,-0.093863815320394
347,-4575,-0.032227648461602365
348,-4565,0.09082632562767526
349,-4555,0.2890469547436443
350,-4545,0.3213040722254812
351,-4535,0.1508251446728818
352,-4525,0.07213296939679911
353,-4515,0.10572355322614004
354,-4505,0.1523152675314821
355,-4495,0.21484964470609058
356,-4485,0.20595421093124483
357,-4475,0.10985547146468921
358,-4465,-0.0509071305523732
359,-4455,-0.2905000888571097
360,-4445,-0.3402167479577628
361,-4435,-0.1578042958335161
362,-4425,-0.02970125889918207
363,-4415,0.032040953192647256
364,-4405,0.07423979569696683
365,-4395,0.09264229435261731
366,-4385,0.0814979133231875
367,-4375,0.03437432957865415
368,-4365,-0.06240847010690518
369,-4355,-0.21985994592657215
370,-4345,-0.33016927110013317
371,-4335,-0.38282714449361754
372,-4325,-0.37026501393333155
373,-4315,-0.2779377735881521
374,-4305,-0.14618708077179865
375,-4295,0.03370405060172854
376,-4285,0.1382356537390006
377,-4275,0.15065943715797753
378,-4265,0.2137958926589989
379,-4255,0.33893121036603757
380,-4245,0.3651349544521829
381,-4235,0.27041004760732906
382,-4225,0.1443334696465443
383,-4215,-0.020071697415996917
384,-4205,-0.0761300953386789
385,-4195,0.00015984250793921184
386,-4185,0.050853604141769114
387,-4175,0.07017891754898731
388,-4165,0.1133937018670731
389,-4155,0.1857850213034139
390,-4145,0.1752337359040724
391,-4135,0.06320754239428339
392,-4125,-0.0023538516430804454
393,-4115,-0.011232669959052977
394,-4105,0.1119037841266967
395,-4095,0.39635789517871883
396,-4085,0.4932228947789086
397,-4075,0.36069495120497264
398,-4065,0.21834266532875984
399,-4055,0.06381682911294898
400,-4045,0.007380875470216111
401,-4035,0.07082837023531961
402,-4025,0.02195588883196009
403,-4015,-0.16415170869951207
404,-4005,-0.20807685650322283
405,-3995,-0.07835810177471586
406,-3985,0.08203436579661993
407,-3975,0.27977432141734526
408,-3965,0.31669206318571685
409,-3955,0.15701529494626798
410,-3945,0.003067732515585564
411,-3935,-0.143923240494432
412,-3925,-0.2626101530832284
413,-3915,-0.3466693162285879
414,-3905,-0.31585374973947267
415,-3895,-0.14477122333041093
416,-3885,-0.0772698484118592
417,-3875,-0.13635801200634098
418,-3865,-0.2090064379282572
419,-3855,-0.2981917788208565
420,-3845,-0.33003322029434556
421,-3835,-0.2917672413816469
422,-3825,-0.25917307601703254
423,-3815,-0.23356360170682697
424,-3805,-0.18558958097444628
425,-3795,-0.11024823880751246
426,-3785,-0.05306559900652505
427,-3775,-0.018026299110711366
428,-3765,0.058496890728195194
