time,NGRIP1seierstad14d18O_decavg_d18O
-5755,-34.543
-5745,-34.55387499999999
-5735,-34.606375
-5725,-34.649249999999995
-5715,-34.684250000000006
-5705,-34.77425
-5695,-34.90925
-5685,-34.94525
-5675,-34.90025
-5665,-34.87037499999999
-5655,-34.852875
-5645,-34.939875
-5635,-35.112375
-5625,-35.011250000000004
-5615,-34.68625
-5605,-34.538625
-5595,-34.53612499999999
-5585,-34.65875
-5575,-34.88375
-5565,-34.967124999999996
-5555,-34.934625000000004
-5545,-34.843
-5535,-34.703
-5525,-34.54375
-5515,-34.36875
-5505,-34.356
-5495,-34.476
-5485,-34.553375
-5475,-34.59587500000001
-5465,-34.583375000000004
-5455,-34.525875
-5445,-34.55225
-5435,-34.647249999999985
-5425,-34.736749999999994
-5415,-34.821749999999994
-5405,-34.783
-5395,-34.643
-5385,-34.619875
-5375,-34.692375000000006
-5365,-34.784125
-5355,-34.891625
-5345,-34.92075
-5335,-34.88575000000001
-5325,-34.953875000000004
-5315,-35.106375
-5305,-35.148875000000004
-5295,-35.101375
-5285,-35.0305
-5275,-34.9405
-5265,-34.935750000000006
-5255,-35.000750000000004
-5245,-34.90075
-5235,-34.665749999999996
-5225,-34.58475000000001
-5215,-34.62975
-5205,-34.69675000000001
-5195,-34.78175
-5185,-34.804875
-5175,-34.77737499999999
-5165,-34.620625
-5155,-34.358125
-5145,-34.29775
-5135,-34.40275
-5125,-34.571000000000005
-5115,-34.791000000000004
-5105,-34.898250000000004
-5095,-34.913250000000005
-5085,-34.907625
-5075,-34.885125
-5065,-34.837875
-5055,-34.770375
-5045,-34.738625000000006
-5035,-34.736125
-5025,-34.729499999999994
-5015,-34.719500000000004
-5005,-34.701249999999995
-4995,-34.67625
-4985,-34.66362499999999
-4975,-34.66112499999999
-4965,-34.713625
-4955,-34.811125
-4945,-34.757375
-4935,-34.579875
-4925,-34.451875
-4915,-34.364374999999995
-4905,-34.38962500000001
-4895,-34.507125
-4885,-34.571
-4875,-34.590999999999994
-4865,-34.632999999999996
-4855,-34.693
-4845,-34.753
-4835,-34.813
-4825,-34.789125000000006
-4815,-34.696625
-4805,-34.59037500000001
-4795,-34.472875
-4785,-34.475
-4775,-34.575
-4765,-34.675
-4755,-34.775
-4745,-34.7815
-4735,-34.7115
-4725,-34.717125
-4715,-34.784625
-4705,-34.849374999999995
-4695,-34.911874999999995
-4685,-34.88775
-4675,-34.79275000000001
-4665,-34.781625
-4655,-34.839125
-4645,-34.933749999999996
-4635,-35.058749999999996
-4625,-35.06962500000001
-4615,-34.987125000000006
-4605,-34.928000000000004
-4595,-34.888
-4585,-34.84525
-4575,-34.80025
-4565,-34.714
-4555,-34.59400000000001
-4545,-34.498749999999994
-4535,-34.42375
-4525,-34.42575
-4515,-34.49075
-4505,-34.665749999999996
-4495,-34.93075
-4485,-35.110499999999995
-4475,-35.2205
-4465,-35.237
-4455,-35.177
-4445,-35.101875
-4435,-35.014374999999994
-4425,-34.82512499999999
-4415,-34.552625
-4405,-34.4245
-4395,-34.4145
-4385,-34.56675
-4375,-34.85175
-4365,-35.077625
-4355,-35.255125
-4345,-35.3075
-4335,-35.25749999999999
-4325,-35.136
-4315,-34.956
-4305,-34.846125
-4295,-34.793625
-4285,-34.75349999999999
-4275,-34.7235
-4265,-34.727875000000004
-4255,-34.760375
-4245,-34.86162500000001
-4235,-35.01912500000001
-4225,-35.102374999999995
-4215,-35.124875
-4205,-35.068999999999996
-4195,-34.94899999999999
-4185,-34.824875
-4175,-34.697375
-4165,-34.63725
-4155,-34.63225
-4145,-34.66025
-4135,-34.71525
-4125,-34.80049999999999
-4115,-34.9105
-4105,-34.980624999999996
-4095,-35.018125
-4085,-35.02674999999999
-4075,-35.01174999999999
-4065,-35.09575
-4055,-35.260749999999994
-4045,-35.28
-4035,-35.18000000000001
-4025,-35.089625
-4015,-35.007124999999995
-4005,-34.924625000000006
-3995,-34.842124999999996
-3985,-34.796749999999996
-3975,-34.781749999999995
-3965,-34.850624999999994
-3955,-34.988125
-3945,-35.04725
-3935,-35.04225
-3925,-35.024874999999994
-3915,-34.997375
-3905,-34.990500000000004
-3895,-35.000499999999995
-3885,-35.072374999999994
-3875,-35.194874999999996
-3865,-35.21425000000001
-3855,-35.14925000000001
-3845,-35.12275
-3835,-35.12775
-3825,-35.167125
-3815,-35.234625
-3805,-35.216875
-3795,-35.129375
-3785,-35.036375
-3775,-34.938875
-3765,-34.930749999999996
-3755,-34.99575
-3745,-35.10475
-3735,-35.249750000000006
-3725,-35.22975
-3715,-35.07475
-3705,-34.87437499999999
-3695,-34.636874999999996
-3685,-34.534125
-3675,-34.541625
-3665,-34.58625000000001
-3655,-34.66125
-3645,-34.64
-3635,-34.54
-3625,-34.52525000000001
-3615,-34.58025000000001
-3605,-34.72875
-3595,-34.95375
-3585,-35.077
-3575,-35.117000000000004
-3565,-35.05937500000001
-3555,-34.921875
-3545,-34.815999999999995
-3535,-34.736000000000004
-3525,-34.808625000000006
-3515,-35.006125000000004
-3505,-35.140375
-3495,-35.222875
-3485,-35.167875
-3475,-35.000375
-3465,-34.94975
-3455,-34.994749999999996
-3445,-35.087875000000004
-3435,-35.220375000000004
-3425,-35.214
-3415,-35.09400000000001
-3405,-34.974000000000004
-3395,-34.854000000000006
-3385,-34.78075
-3375,-34.74575
-3365,-34.815250000000006
-3355,-34.97025000000001
-3345,-35.084
-3335,-35.164
-3325,-35.04462500000001
-3315,-34.762125
-3305,-34.62262499999999
-3295,-34.600125000000006
-3285,-34.720625
-3275,-34.958124999999995
-3265,-35.11450000000001
-3255,-35.2045
-3245,-35.28625
-3235,-35.36125
-3225,-35.327625
-3215,-35.205124999999995
-3205,-35.11425
-3195,-35.04925
-3185,-35.087374999999994
-3175,-35.209875
-3165,-35.163250000000005
-3155,-34.97825
-3145,-34.89637499999999
-3135,-34.898875
-3125,-34.96875
-3115,-35.09375
-3105,-35.096374999999995
-3095,-34.998875000000005
-3085,-34.945375
-3075,-34.92787499999999
-3065,-34.957125
-3055,-35.024625
-3045,-35.050875
-3035,-35.04337499999999
-3025,-35.040000000000006
-3015,-35.040000000000006
-3005,-35.110125
-2995,-35.237625
-2985,-35.246875
-2975,-35.159375000000004
-2965,-35.0375
-2955,-34.8875
-2945,-34.82275
-2935,-34.827749999999995
-2925,-34.765375
