,time,erb22GMSTanom_decavg_temp__detrendedlinear
91,-7135.0,-0.022551940946594913
92,-7125.0,0.003869778154955872
93,-7115.0,0.018248776256506657
94,-7105.0,0.02053119035805744
95,-7095.0,0.011209498459608225
96,-7085.0,0.030082922561159006
97,-7075.0,0.03173209466270979
98,-7065.0,0.03279451716426057
99,-7055.0,0.03086237236581136
100,-7045.0,0.03463455296736214
101,-7035.0,0.04266878906891293
102,-7025.0,0.039811742570463715
103,-7015.0,0.039246287972014494
104,-7005.0,0.05075389537356528
105,-6995.0,0.06028076847511606
106,-6985.0,0.033071611976666845
107,-6975.0,0.03821405077821763
108,-6965.0,-0.0017097422202315832
109,-6955.0,-0.009685768118680799
110,-6945.0,-0.002856224017130017
111,-6935.0,-0.014096011915579236
112,-6925.0,0.007973435185971552
113,-6915.0,0.023623434287522335
114,-6905.0,0.03076539478907312
115,-6895.0,0.030560130490623904
116,-6885.0,0.015301890592174686
117,-6875.0,0.01599136469372547
118,-6865.0,0.033451694995276254
119,-6855.0,0.02511211989682704
120,-6845.0,0.013268856998377824
121,-6835.0,0.013133683099928607
122,-6825.0,0.01416406120147939
123,-6815.0,0.009916532303030176
124,-6805.0,-0.004669961595419041
125,-6795.0,-0.0021655324938682566
126,-6785.0,0.0027032466076825287
127,-6775.0,0.0037262317092333075
128,-6765.0,0.0030063568107840943
129,-6755.0,0.0023962759123348776
130,-6745.0,-0.0027325879861143376
131,-6735.0,0.002219388115436448
132,-6725.0,0.010428908216987231
133,-6715.0,0.014556085318538015
134,-6705.0,0.017396484420088797
135,-6695.0,0.012451500521639583
136,-6685.0,0.006182800623190366
137,-6675.0,0.0026429897247411474
138,-6665.0,0.006110971826291934
139,-6655.0,0.012780337927842719
140,-6645.0,0.02740405602939351
141,-6635.0,0.036544924010944294
142,-6625.0,0.03964768183249508
143,-6615.0,0.04518904333404586
144,-6605.0,0.04190623483559665
145,-6595.0,0.04694945853714743
146,-6585.0,0.05588292763869821
147,-6575.0,0.046557121740248994
148,-6565.0,0.04497506684179978
149,-6555.0,0.03977707454335056
150,-6545.0,0.03302725834490135
151,-6535.0,0.03796724494645213
152,-6525.0,0.032307709748002914
153,-6515.0,0.0351964734495537
154,-6505.0,0.03478192365110448
155,-6495.0,0.036733979102655266
156,-6485.0,0.03535609555420605
157,-6475.0,0.03167705435575684
158,-6465.0,0.03496230241730762
159,-6455.0,0.036225118728858405
160,-6445.0,0.031562800460409185
161,-6435.0,0.02317658116195997
162,-6425.0,0.03248103196351076
163,-6415.0,0.04130569586506154
164,-6405.0,0.041472110466612325
165,-6395.0,0.04042164256816311
166,-6385.0,0.045758992669713894
167,-6375.0,0.04531072877126467
168,-6365.0,0.05520152587281546
169,-6355.0,0.07612173397436625
170,-6345.0,0.09384181807591703
171,-6335.0,0.1203564001774678
172,-6325.0,0.1265897762790186
173,-6315.0,0.12133289438056938
174,-6305.0,0.11758993048212016
175,-6295.0,0.10636575258367095
176,-6285.0,0.09758223668522173
177,-6275.0,0.10239724678677252
178,-6265.0,0.1040846188883233
179,-6255.0,0.10119943098987408
180,-6245.0,0.09108713809142487
181,-6235.0,0.08595163519297566
182,-6225.0,0.07533279529452644
183,-6215.0,0.07082071139607722
184,-6205.0,0.060497365497628006
185,-6195.0,0.05295526059917879
186,-6185.0,0.04327296070072957
187,-6175.0,0.048388328802280355
188,-6165.0,0.05170725990383114
189,-6155.0,0.03330905880538192
190,-6145.0,0.028312761106932708
191,-6135.0,0.02795742620848349
192,-6125.0,0.035721100750034276
193,-6115.0,0.03802710991158506
194,-6105.0,0.04317888751313584
195,-6095.0,0.05859040061468662
196,-6085.0,0.06190809471623741
197,-6075.0,0.06004105881778819
198,-6065.0,0.04866563891933898
199,-6055.0,0.04711367602088976
200,-6045.0,0.06153835312244055
201,-6035.0,0.06661231322399133
202,-6025.0,0.057902822325542114
203,-6015.0,0.0592697424270929
204,-6005.0,0.04902100902864368
205,-5995.0,0.043861579630194464
206,-5985.0,0.04660535973174525
207,-5975.0,0.044348223833296035
208,-5965.0,0.05125264593484682
209,-5955.0,0.0418897737363976
210,-5945.0,0.05447778313794839
211,-5935.0,0.06261446323949917
212,-5925.0,0.06577575334104996
213,-5915.0,0.06110486244260074
214,-5905.0,0.05293503354415152
215,-5895.0,0.04803850464570231
216,-5885.0,0.03506417924725309
217,-5875.0,0.03317874394880387
218,-5865.0,0.03125975685035466
219,-5855.0,0.03804201605190544
220,-5845.0,0.03269935985345623
221,-5835.0,0.01787445925500701
222,-5825.0,0.022964296356557792
223,-5815.0,0.024599946958108576
224,-5805.0,0.02072698455965936
225,-5795.0,0.023599347661210145
226,-5785.0,0.03305099456276093
227,-5775.0,0.03689530026431171
228,-5765.0,0.049919810965862496
229,-5755.0,0.05615589306741328
230,-5745.0,0.05437104016896406
231,-5735.0,0.04700003227051485
232,-5725.0,0.041965586372065634
233,-5715.0,0.039105369873616416
234,-5705.0,0.028388810375167203
235,-5695.0,0.038611351276717984
236,-5685.0,0.03896277777826877
237,-5675.0,0.05068005487981955
238,-5665.0,0.04937460798137033
239,-5655.0,0.050663297082921124
240,-5645.0,0.0636056291844719
241,-5635.0,0.0637436432860227
242,-5625.0,0.05967614938757347
243,-5615.0,0.059646336489124256
244,-5605.0,0.04849319059067504
245,-5595.0,0.046728894692225825
246,-5585.0,0.04729737479377661
247,-5575.0,0.05268885189532739
248,-5565.0,0.05063544899687818
249,-5555.0,0.06443011809842897
250,-5545.0,0.07468439019997974
251,-5535.0,0.06104451530153053
252,-5525.0,0.04025260310308131
253,-5515.0,0.018748964504632096
254,-5505.0,0.019620583606182886
255,-5495.0,0.013790921707733671
256,-5485.0,0.011011157809284456
257,-5475.0,0.01347015291083524
258,-5465.0,0.010310541012386022
259,-5455.0,0.009024446113936806
260,-5445.0,-0.004973593784512412
261,-5435.0,-0.006254762682961622
262,-5425.0,0.0019453114185891615
263,-5415.0,0.012333998520139944
264,-5405.0,0.014738244621690728
265,-5395.0,0.01752343872324151
266,-5385.0,0.018480194824792295
267,-5375.0,0.024775067926343076
268,-5365.0,0.024004699027893865
269,-5355.0,0.030719109129444647
270,-5345.0,0.03652392743099543
271,-5335.0,0.03412125359254622
272,-5325.0,0.034512378634097
273,-5315.0,0.03807013253564778
274,-5305.0,0.031408717437198565
275,-5295.0,0.04006204173874935
276,-5285.0,0.05291517184030013
277,-5275.0,0.05107710094185092
278,-5265.0,0.044866994043401706
279,-5255.0,0.023771006144952485
280,-5245.0,-0.002562740753496731
281,-5235.0,0.010152972348054054
282,-5225.0,0.0003887374496048396
283,-5215.0,0.021278100551155622
284,-5205.0,0.029236867852706405
285,-5195.0,0.02324028775425719
