,time,vieira11tsianom1kyrfir
96,-6985.0,-0.11672212818448482
97,-6975.0,-0.04526022791282751
98,-6965.0,0.04215868666874038
99,-6955.0,0.03612921086985478
100,-6945.0,-0.03957677940980591
101,-6935.0,-0.015198019154927266
102,-6925.0,0.0849254344683422
103,-6915.0,0.10427283934874831
104,-6905.0,0.030213810345498485
105,-6895.0,-0.0687971642796112
106,-6885.0,-0.10265593851678775
107,-6875.0,-0.055384919168728855
108,-6865.0,-0.08437236305796172
109,-6855.0,-0.1749676097846731
110,-6845.0,-0.0863989604367652
111,-6835.0,0.16319623640937836
112,-6825.0,0.4253732029199799
113,-6815.0,0.43200349308274544
114,-6805.0,0.0610410585660732
115,-6795.0,-0.17037325013490986
116,-6785.0,-0.11547984247832457
117,-6775.0,0.12179513418657448
118,-6765.0,0.2191241383005387
119,-6755.0,-0.002839752737453932
120,-6745.0,-0.10009104128209363
121,-6735.0,-0.13758564769581044
122,-6725.0,-0.2920693619477055
123,-6715.0,-0.2606673747375891
124,-6705.0,0.08356974375715209
125,-6695.0,0.33583197288187594
126,-6685.0,0.19164379872159742
127,-6675.0,-0.053665448192860316
128,-6665.0,-0.20241599600067206
129,-6655.0,-0.18891980085608207
130,-6645.0,-0.17161260894424954
131,-6635.0,-0.23597875047557187
132,-6625.0,-0.22891699731125253
133,-6615.0,-0.134516412865812
134,-6605.0,-0.031993022407338534
135,-6595.0,0.08271760110295057
136,-6585.0,0.2245227729172785
137,-6575.0,0.18432351932547605
138,-6565.0,0.043427643324993104
139,-6555.0,0.027290624602568776
140,-6545.0,0.04435924282892152
141,-6535.0,0.06833614659985687
142,-6525.0,0.15049009288203657
143,-6515.0,0.2325949660946147
144,-6505.0,0.12587763359931534
145,-6495.0,-0.05494478096791387
146,-6485.0,-0.06906380144415415
147,-6475.0,0.007113452699985694
148,-6465.0,0.08246516526627319
149,-6455.0,0.06354442558440737
150,-6445.0,-0.061136037067688206
151,-6435.0,-0.00915566713870601
152,-6425.0,0.1600371237895017
153,-6415.0,0.02901295787617511
154,-6405.0,-0.27230563469030034
155,-6395.0,-0.3340760992733254
156,-6385.0,-0.1945031370835402
157,-6375.0,0.09410661699308326
158,-6365.0,0.31811836043609415
159,-6355.0,0.19979341553285318
160,-6345.0,0.10711943217279361
161,-6335.0,0.24102766415876067
162,-6325.0,0.2845819422093319
163,-6315.0,0.07719386472738599
164,-6305.0,-0.14560864745596266
165,-6295.0,-0.2911688948960348
166,-6285.0,-0.4348632600801579
167,-6275.0,-0.5156012818066152
168,-6265.0,-0.46142829121999707
169,-6255.0,-0.2707541660103072
170,-6245.0,-0.03131043002679401
171,-6235.0,0.16902843308752424
172,-6225.0,0.2847029337112572
173,-6215.0,0.19186841905747465
174,-6205.0,-0.0889615856218901
175,-6195.0,-0.21409280269473682
176,-6185.0,-0.23426548117377183
177,-6175.0,-0.4395885750145898
178,-6165.0,-0.5567711676727962
179,-6155.0,-0.2637719985193179
180,-6145.0,0.1635990454660669
181,-6135.0,0.3653068798001353
182,-6125.0,0.25094349773620245
183,-6115.0,-0.044902976899294386
184,-6105.0,-0.13057871385841957
185,-6095.0,-0.062382821094526336
186,-6085.0,0.04717819070352183
187,-6075.0,0.30527848684534903
188,-6065.0,0.37170080370327085
189,-6055.0,0.27527893409492427
190,-6045.0,0.3618725996364913
191,-6035.0,0.41212549699380463
192,-6025.0,0.3763267988457173
193,-6015.0,0.4105185089391963
194,-6005.0,0.23805395106251825
195,-5995.0,-0.17241931351828058
196,-5985.0,-0.28136605154600797
197,-5975.0,0.019359972263949768
198,-5965.0,0.3023286656824197
199,-5955.0,0.21488223942376
200,-5945.0,0.011317528247818315
201,-5935.0,-0.12267448018104654
202,-5925.0,-0.24846421491729087
203,-5915.0,-0.35769971317820987
204,-5905.0,-0.4176241008095032
205,-5895.0,-0.4375479802947879
206,-5885.0,-0.425374838342617
207,-5875.0,-0.333759901254748
208,-5865.0,-0.2674847730368021
209,-5855.0,-0.2521247353658912
210,-5845.0,-0.1978917282195226
211,-5835.0,-0.008452672224318392
212,-5825.0,0.22995905298420236
213,-5815.0,0.33449057084664213
214,-5805.0,0.38751549542555314
215,-5795.0,0.45053855279496074
216,-5785.0,0.47579333367889476
217,-5775.0,0.42654054675986236
218,-5765.0,0.2909224730500847
219,-5755.0,0.09290857346194106
220,-5745.0,-0.06579951819592986
221,-5735.0,-0.08500482152408258
222,-5725.0,-0.06608252884790002
223,-5715.0,-0.05603823572732796
224,-5705.0,0.0009086121346050836
225,-5695.0,0.11832797956419594
226,-5685.0,0.22466551139604207
227,-5675.0,0.27454848730019854
228,-5665.0,0.15047337600098099
229,-5655.0,-0.053511074365803185
230,-5645.0,-0.06711986129752676
231,-5635.0,0.08495993549297398
232,-5625.0,0.18419939607299912
233,-5615.0,0.08686714519361866
234,-5605.0,-0.1321160891509528
235,-5595.0,-0.3722868033602432
236,-5585.0,-0.5637019667759879
237,-5575.0,-0.5986162593596669
238,-5565.0,-0.4678201853584857
239,-5555.0,-0.2652051294843774
240,-5545.0,-0.0785218577209682
241,-5535.0,0.08619401602736246
242,-5525.0,0.18734052627316705
243,-5515.0,0.2787940061054495
244,-5505.0,0.40400229634754936
245,-5495.0,0.2904248160650493
246,-5485.0,0.017661267371059886
247,-5475.0,-0.15729376132803657
248,-5465.0,-0.26507382761108866
249,-5455.0,-0.3549650833848266
250,-5445.0,-0.4369680974298542
251,-5435.0,-0.38317277921993326
252,-5425.0,-0.1587687352371985
253,-5415.0,0.08916662066530134
254,-5405.0,0.19349034724239636
255,-5395.0,0.21404960247929816
256,-5385.0,0.33062909759367687
257,-5375.0,0.4737082127421498
258,-5365.0,0.524709265964058
259,-5355.0,0.5654914062693561
260,-5345.0,0.5206376586880337
261,-5335.0,0.19189245355949747
262,-5325.0,-0.22280830763041443
263,-5315.0,-0.4399481599076417
264,-5305.0,-0.5149223239078957
265,-5295.0,-0.5447154454852243
266,-5285.0,-0.5473426359993444
267,-5275.0,-0.5037575530621718
268,-5265.0,-0.4352646746771869
269,-5255.0,-0.3737751245761295
270,-5245.0,-0.29643653649072876
271,-5235.0,-0.22311182520261993
272,-5225.0,-0.18865500717524814
273,-5215.0,-0.21439077651705246
274,-5205.0,-0.20444202418993082
275,-5195.0,-0.025608676222142024
276,-5185.0,0.18215241346538047
277,-5175.0,0.301949729337364
278,-5165.0,0.44158966871348715
279,-5155.0,0.48672563642577504
280,-5145.0,0.31951246780344994
281,-5135.0,0.14443093401206153
282,-5125.0,0.07891374016832417
283,-5115.0,0.24189757040996443
284,-5105.0,0.5581569204453223
285,-5095.0,0.594576522245603
286,-5085.0,0.3963564596461837
287,-5075.0,0.2619917747013971
288,-5065.0,0.17748185525222304
289,-5055.0,0.014882189132395224
290,-5045.0,-0.20220150001655524
291,-5035.0,-0.2759490904863039
292,-5025.0,-0.13301093960209012
293,-5015.0,0.14413007531373628
294,-5005.0,0.28578404728370804
295,-4995.0,0.2190188587681693
296,-4985.0,0.06916062580813179
297,-4975.0,-0.108958064809905
298,-4965.0,-0.19393159984087485
299,-4955.0,-0.13749622838566572
300,-4945.0,0.012987954722426809
301,-4935.0,0.1925688716842561
302,-4925.0,0.27874897229183115
303,-4915.0,0.26258053876250614
304,-4905.0,0.3140801873601778
305,-4895.0,0.39383685881797603
306,-4885.0,0.30290974414510474
307,-4875.0,0.022818278901682865
308,-4865.0,-0.22145361881438994
309,-4855.0,-0.3018583893753316
310,-4845.0,-0.37816590380753856
311,-4835.0,-0.5644778039677414
312,-4825.0,-0.7115894313170967
313,-4815.0,-0.7384614028667861
314,-4805.0,-0.7029121675466575
315,-4795.0,-0.6429550656695254
316,-4785.0,-0.5932657830019654
317,-4775.0,-0.39787116100491593
318,-4765.0,0.02901776177693438
319,-4755.0,0.36420239622790795
320,-4745.0,0.3307083484907876
321,-4735.0,0.15172688408861415
322,-4725.0,0.11076755271889145
323,-4715.0,0.09974424582819513
324,-4705.0,-0.014029119618616234
325,-4695.0,-0.045918922862490066
326,-4685.0,0.07105686338224954
327,-4675.0,0.3209572696233508
328,-4665.0,0.43412273374068266
329,-4655.0,0.205154179871406
330,-4645.0,0.06276615025988876
331,-4635.0,0.11121615133295706
332,-4625.0,0.09077776912274343
333,-4615.0,0.007810548146295445
334,-4605.0,0.09847710114905288
335,-4595.0,0.284893100437749
336,-4585.0,0.22685596841900063
337,-4575.0,-0.0005387856289031656
338,-4565.0,0.003677257445900458
339,-4555.0,0.16854976406793792
340,-4545.0,0.16184298202354153
341,-4535.0,0.000671641788580285
342,-4525.0,-0.20281683138139578
343,-4515.0,-0.29696748817289104
344,-4505.0,-0.257453586765434
345,-4495.0,-0.10783063322366762
346,-4485.0,0.1102765291552681
347,-4475.0,0.33836211059031807
348,-4465.0,0.5066441710490095
349,-4455.0,0.3337597085758098
350,-4445.0,0.02244100341941785
351,-4435.0,-0.04390382684453836
352,-4425.0,-0.16071956236363943
353,-4415.0,-0.4193477972115497
354,-4405.0,-0.46120379458081523
355,-4395.0,-0.31229541078598827
356,-4385.0,-0.18755945699053594
357,-4375.0,-0.07263127517967588
358,-4365.0,-0.016179089380670454
359,-4355.0,-0.13215265846012123
360,-4345.0,-0.1762777314904894
361,-4335.0,0.03190332732832435
362,-4325.0,0.24588937789777193
363,-4315.0,0.26918680068251527
364,-4305.0,0.1411908520944889
365,-4295.0,-0.0017806337570215047
366,-4285.0,-0.005488575128198933
367,-4275.0,0.0970076644476014
368,-4265.0,0.13402922908388631
369,-4255.0,0.047617858645614075
370,-4245.0,-0.09661756738079025
371,-4235.0,-0.21417342120530192
372,-4225.0,-0.23800962338786164
373,-4215.0,-0.10147545456925292
374,-4205.0,0.16687712741826288
375,-4195.0,0.3050339544551107
376,-4185.0,0.182075482961163
377,-4175.0,0.17126463671779252
378,-4165.0,0.18131700034770248
379,-4155.0,-0.11144860194418503
380,-4145.0,-0.32628395411339317
381,-4135.0,-0.20743520981378477
382,-4125.0,0.03685505407366582
383,-4115.0,0.2263597946543551
384,-4105.0,0.19206851077694026
385,-4095.0,-0.11982856093796573
386,-4085.0,-0.3652864439541686
387,-4075.0,-0.37385919365660225
388,-4065.0,-0.2981813245231967
389,-4055.0,-0.14936965964682747
390,-4045.0,0.06506089871089729
391,-4035.0,0.2774344196411282
392,-4025.0,0.3870235512262283
393,-4015.0,0.3261230785617367
394,-4005.0,0.234241477567536
395,-3995.0,0.07462140004028703
396,-3985.0,-0.16367529520967172
397,-3975.0,-0.2677829733735839
398,-3965.0,-0.23830589956681497
