,time,alley00gisp2multiproxy1kyrfir
356,-4485.0,-0.2475288162973167
357,-4475.0,-0.24665177237901298
358,-4465.0,-0.28370394943185745
359,-4455.0,-0.3038004346256201
360,-4445.0,-0.2836696679999573
361,-4435.0,-0.20886871938761548
362,-4425.0,-0.11078333173298927
363,-4415.0,-0.027223441845347536
364,-4405.0,0.012028717834614212
365,-4395.0,0.00452824653265315
366,-4385.0,-0.04014904237703551
367,-4375.0,-0.06526837818791073
368,-4365.0,-0.022735444836880503
369,-4355.0,0.010980530354826441
370,-4345.0,0.043474965390980495
371,-4335.0,0.08436570159282773
372,-4325.0,0.1176686176629624
373,-4315.0,0.14417299280427576
374,-4305.0,0.23183366337235917
375,-4295.0,0.3516977054088568
376,-4285.0,0.45870161672227616
377,-4275.0,0.5305331434881271
378,-4265.0,0.6019793883153518
379,-4255.0,0.6294322565263044
380,-4245.0,0.6066272544306743
381,-4235.0,0.5700493587993107
382,-4225.0,0.5305126236436627
383,-4215.0,0.4584269040329663
384,-4205.0,0.33538985301161384
385,-4195.0,0.26169443459828223
386,-4185.0,0.24644987260923862
387,-4175.0,0.28753032318073785
388,-4165.0,0.3440323053690258
389,-4155.0,0.3778555946560148
390,-4145.0,0.376033051166509
391,-4135.0,0.36595404474302623
392,-4125.0,0.3400580893636347
393,-4115.0,0.29624982393613714
394,-4105.0,0.2403756434602934
395,-4095.0,0.1825120808677637
396,-4085.0,0.10355215848915704
397,-4075.0,0.05105584989880907
398,-4065.0,0.03987163767390895
399,-4055.0,-0.014076048019056438
400,-4045.0,-0.16840770825731433
401,-4035.0,-0.21863968094526687
402,-4025.0,-0.24795465921404103
403,-4015.0,-0.2898418600602259
404,-4005.0,-0.27977945006396293
405,-3995.0,-0.33011726079243375
406,-3985.0,-0.34875761034985586
407,-3975.0,-0.35558017507558215
408,-3965.0,-0.38168945510021435
409,-3955.0,-0.43129430422623055
410,-3945.0,-0.4879110464116934
411,-3935.0,-0.49406509678077015
412,-3925.0,-0.47580690295913686
413,-3915.0,-0.45062291247780634
414,-3905.0,-0.4471105163300726
415,-3895.0,-0.43488785065155167
416,-3885.0,-0.3932352914610394
417,-3875.0,-0.34772600045823115
418,-3865.0,-0.32708412477159904
419,-3855.0,-0.33330415100266264
420,-3845.0,-0.36516448248804706
421,-3835.0,-0.31965984093295713
422,-3825.0,-0.23742650404576213
423,-3815.0,-0.15619164716271666
424,-3805.0,-0.10923365376265266
425,-3795.0,-0.08721362803641444
426,-3785.0,0.06194182009031014
427,-3775.0,0.1195823874383396
428,-3765.0,0.18145437446278506
429,-3755.0,0.26526186957090647
430,-3745.0,0.3268627587989872
431,-3735.0,0.3404643597594665
432,-3725.0,0.26568779229632433
433,-3715.0,0.16303645661748345
434,-3705.0,0.07623109894322017
435,-3695.0,0.052047530813448144
436,-3685.0,0.10418766079902542
437,-3675.0,0.193190853345715
438,-3665.0,0.2974032474742911
439,-3655.0,0.3901535847713588
440,-3645.0,0.4416742344695764
441,-3635.0,0.4462617489649966
442,-3625.0,0.47169576849151357
443,-3615.0,0.40405699442982984
444,-3605.0,0.28791384763262146
445,-3595.0,0.1677980591589524
446,-3585.0,0.06690175848526399
447,-3575.0,-0.03813163934366489
448,-3565.0,-0.1459291473985425
449,-3555.0,-0.2646412601654675
450,-3545.0,-0.38953271339974926
451,-3535.0,-0.49522074435827973
452,-3525.0,-0.5274263941304044
453,-3515.0,-0.4489937631702239
454,-3505.0,-0.39705121139431515
455,-3495.0,-0.3715320784591207
456,-3485.0,-0.3645353743389426
457,-3475.0,-0.3770889823075768
458,-3465.0,-0.3892777889888757
459,-3455.0,-0.33506895489514527
460,-3445.0,-0.2792950295256189
461,-3435.0,-0.2605766910676288
462,-3425.0,-0.2861722801968823
463,-3415.0,-0.2817863837426819
464,-3405.0,-0.2831518262795949
465,-3395.0,-0.27760920945220646
466,-3385.0,-0.2258931086024472
467,-3375.0,-0.09902078993336831
468,-3365.0,0.032221632685955445
469,-3355.0,0.058183831474715925
470,-3345.0,0.0635359840280518
471,-3335.0,0.1571147954900733
472,-3325.0,0.3959745664455706
473,-3315.0,0.6999888275333225
474,-3305.0,0.8788153344173774
475,-3295.0,0.9374501195148262
476,-3285.0,0.9094331220551717
477,-3275.0,0.8383080261678928
478,-3265.0,0.7810327615091662
479,-3255.0,0.7389080069307139
