time,tian22ht115kaallgmst
-6955,-0.27225460581625605
-6945,-0.3478745894893507
-6935,-0.31276907496298456
-6925,-0.2155929999812951
-6915,-0.28409685664023065
-6905,-0.2755285697444787
-6895,-0.20157885126913655
-6885,-0.21426434092367685
-6875,-0.22158445887411737
-6865,-0.24436020426596272
-6855,-0.2152967887386179
-6845,-0.18532747797812021
-6835,-0.19182943873251546
-6825,-0.2504417853816854
-6815,-0.2432424979671346
-6805,-0.22309193186606002
-6795,-0.27094683222616744
-6785,-0.17623810343588353
-6775,-0.2011434989436971
-6765,-0.16330179743612838
-6755,-0.2156058745845666
-6745,-0.23351940684164596
-6735,-0.2537724929317342
-6725,-0.12951845698202646
-6715,-0.22200092844809127
-6705,-0.178134770916353
-6695,-0.21773056559408666
-6685,-0.20194029383505452
-6675,-0.3372730689510206
-6665,-0.29016308359945775
-6655,-0.2844362693294382
-6645,-0.32666449122274877
-6635,-0.15221476130331624
-6625,-0.1915536361202097
-6615,-0.2577092605098592
-6605,-0.18334421686972213
-6595,-0.24695457987631464
-6585,-0.22090220026816
-6575,-0.26940130762899983
-6565,-0.31492647700155807
-6555,-0.26448006205404795
-6545,-0.19352268748129475
-6535,-0.25053200297201705
-6525,-0.2451341109737264
-6515,-0.285665269420992
-6505,-0.2426617103084432
-6495,-0.272755094097505
-6485,-0.17576784663046396
-6475,-0.20748447947348225
-6465,-0.21505674891317916
-6455,-0.14190067820395136
-6445,-0.19702448420370722
-6435,-0.2185080008968221
-6425,-0.23300261072958506
-6415,-0.1993194060787058
-6405,-0.2501123862727983
-6395,-0.21757883601034678
-6385,-0.15106892161215413
-6375,-0.24109510950888158
-6365,-0.21965002589071858
-6355,-0.3051930861934533
-6345,-0.2472954230769968
-6335,-0.24595636896933115
-6325,-0.21921963267172373
-6315,-0.21617559962118627
-6305,-0.29858593516195775
-6295,-0.1604196982845174
-6285,-0.13938612513388193
-6275,-0.14966787867392206
-6265,-0.1399568038448198
-6255,-0.12887129359091354
-6245,-0.24513592295492792
-6235,-0.18213619761313105
-6225,-0.1945703940852983
-6215,-0.17882895045126546
-6205,-0.2099782424434533
-6195,-0.15411209635580647
-6185,-0.19204058222616815
-6175,-0.13907398753012323
-6165,-0.24419722132528854
-6155,-0.17846264414633417
-6145,-0.17701477579916514
-6135,-0.11480803065146006
-6125,-0.09259123377646006
-6115,-0.10742811732138158
-6105,-0.12728724055136276
-6095,-0.12197918467367685
-6085,-0.1884851890071726
-6075,-0.19483046107138158
-6065,-0.08476824335897959
-6055,-0.16832108073080576
-6045,-0.07545609049643076
-6035,-0.11402487330282796
-6025,-0.005203099773774866
-6015,-0.08579706721151936
-6005,-0.10960964732016087
-5995,-0.06705135874594248
-5985,-0.10912842326010264
-5975,-0.09533390574301315
-5965,-0.10565580897177362
-5955,-0.22160334162558115
-5945,-0.12175211481894088
-5935,-0.2706055121883253
-5925,-0.18133253626669443
-5915,-0.2161404090389123
-5905,-0.20717749171103073
-5895,-0.15387463145102132
-5885,-0.16328453593100178
-5875,-0.08498549036825764
-5865,-0.11318726115072764
-5855,-0.08559841685141123
-5845,-0.0957042174800744
-5835,-0.1790192084773885
-5825,-0.21409105830038655
-5815,-0.1016488509639597
-5805,-0.11964888148153818
-5795,-0.13275627665365697
-5785,-0.1611201720699178
-5775,-0.16591229014242792
-5765,-0.05658821635092259
-5755,-0.02786783747519017
-5745,-0.0923512893184526
-5735,-0.09633898310507405
-5725,-0.13001617960775924
-5715,-0.18997835688437092
-5705,-0.2144402938350538
-5695,-0.13967651896322764
-5685,-0.118487592266451
-5675,-0.07688660197104014
-5665,-0.0775812583431108
-5655,-0.07774242930258346
-5645,-0.15200590662802327
-5635,-0.12468990855063034
-5625,-0.11837353281820917
-5615,-0.11958803706015253
-5605,-0.16391043238485814
-5595,-0.049842496441256046
-5585,-0.10766167216146982
-5575,-0.07699131541098225
-5565,-0.11452946238363815
-5555,-0.09926876597250534
-5545,-0.16499275736654795
-5535,-0.13493437342489756
-5525,-0.04901041560019159
-5515,-0.1089331107601037
-5505,-0.09001841120566034
-5495,-0.12116570048178232
-5485,-0.14154676966513158
-5475,-0.06743034891928268
-5465,-0.10817942194784713
-5455,-0.07925438456381428
-5445,-0.13064608149374557
-5435,-0.18761715464438034
-5425,-0.12091011576498545
-5415,-0.08619265131796361
-5405,-0.13020224146688975
-5395,-0.09437765650595331
-5385,-0.07487759165609909
-5375,-0.10521387629355061
-5365,-0.12798075251425267
-5355,-0.08849510722006393
-5345,-0.12144541315878499
-5335,-0.07884850077475214
-5325,-0.12125200800741709
-5315,-0.026707215832123765
-5305,-0.057723660992037296
-5295,-0.09617962412680292
-5285,-0.04506992869223225
-5275,-0.02630524210775853
-5265,-0.1022842841609819
-5255,-0.0922415214046346
-5245,-0.07845768503988815
-5235,-0.10134148173178303
-5225,-0.17046608500326776
-5215,-0.059351583050142764
-5205,-0.09101318888510335
-5195,-0.07950005106772018
-5185,-0.04706291727865697
-5175,-0.08784184031332565
-5165,-0.09129290156210423
-5155,-0.0969854789241662
-5145,-0.12572159342611933
-5135,-0.0857177215083933
-5125,-0.10134424738730097
-5115,-0.04039177470053268
-5105,-0.04902424387777948
-5095,-0.11229261927450729
-5085,-0.09524426035727096
-5075,-0.09572996668661737
-5065,-0.11947178416098225
-5055,-0.08195986323202753
-5045,-0.12400259547079706
-5035,-0.09174894862021077
-5025,-0.038987680004487046
-5015,-0.09219278864706659
-5005,-0.06400217585409784
-4995,-0.050876756237398624
-4985,-0.08312534861410725
-4975,-0.04635529093588353
-4965,0.023609117938628188
-4955,-0.062476106212983495
-4945,-0.05037893824423456
-4935,-0.038421865032564284
-4925,-0.026968904064545995
-4915,-0.034149308727633
-4905,0.0004734558597707661
-4895,0.03987479634438884
-4885,-0.022101159618745925
-4875,-0.04715447001303197
-4865,-0.031957097576508886
-4855,-0.023551984356293687
-4845,0.04051909871255255
-4835,-0.00275148920859003
-4825,-0.04153217844809198
-4815,0.006421522571196547
-4805,-0.0838398414119581
-4795,0.032696299029936426
-4785,-0.015122170971284987
-4775,-0.0901037650569787
-4765,-0.02829184107626581
-4755,-0.017588086651215917
-4745,-0.013679643200289249
-4735,-0.02463869623983861
-4725,-0.008802457378754625
-4715,-0.027720304058442835
-4705,-0.025150819347748765
-4695,-0.0789580779537058
-4685,0.06456723637734818
-4675,-0.03631176524008417
-4665,0.022645239307035325
-4655,0.08267560429727006
-4645,-0.031086106823336124
-4635,-0.029275937603364
-4625,0.13041310734902822
-4615,0.04420781560098064
-4605,0.1031133217350142
-4595,0.12777286000405752
-4585,0.05632720418130255
-4575,0.020789865924466966
-4565,-0.10541891627157796
-4555,-0.049365754650484206
-4545,-0.025480123089204554
-4535,-0.07325014643515182
-4525,0.03550868458901846
-4515,-0.0887172179683553
-4505,-0.12569908671225072
-4495,-0.1278096633418908
-4485,-0.11065535120810033
-4475,-0.034074731396088964
-4465,-0.11551718287313939
-4455,-0.03591827921713353
-4445,-0.014679189251314284
-4435,-0.04308352045858932
-4425,-0.0096073585018015
-4415,-0.06988243632162572
-4405,0.01958661503945791
-4395,-0.0009362655147420185
-4385,0.07482924885903763
-4375,-0.02168469004477025
-4365,-0.030158658550631046
-4355,0.018898825122464658
-4345,0.005141119433988095
-4335,0.028139643146147364
-4325,-0.03658346705282689
-4315,-0.03562931589926244
-4305,-0.0013368087276326435
-4295,-0.018805261181245925
-4285,0.0034007591739797505
-4275,0.08366599507485795
-4265,-0.031281610058199405
-4255,0.08292165227090287
-4245,0.14829879231606924
-4235,0.033333162738431454
-4225,0.08403516240273845
-4215,0.15690083928262233
-4205,0.08757520146523845
-4195,0.09622216649209392
-4185,0.028945116473783727
-4175,0.05247769780312872
-4165,0.029638342334379786
-4155,0.022608904315580602
-4145,-0.000583406017671706
-4135,0.12638879246865642
-4125,-0.02325157694662572
-4115,-0.1166325049861765
-4105,-0.012431855724702956
-4095,0.0027699989811083015
-4085,-0.058006520794283034
-4075,-0.019310613201509952
-4065,0.03866334386025905
-4055,-0.09506001047934198
-4045,-0.00856508784140253
-4035,-0.07064213328207636
-4025,0.04726405568276881
-4015,0.04103846974526881
-4005,0.017409662677396298
-3995,0.019743589831938024
-3985,-0.03407406382406819
-3975,0.03800616688882208
-3965,0.0907526535526415
-3955,0.09947600789224076
-3945,0.07788930363808966
-3935,0.1108908218876028
-3925,0.016964773608792783
-3915,0.007337336017240403
-3905,0.12105107731973064
-3895,0.028401712848294736
-3885,0.05824723668252396
-3875,0.0827098412052294
-3865,0.1448131126896044
-3855,0.1063599152103567
-3845,0.07218451924478053
-3835,0.10072141118203604
-3825,0.021332220508208266
-3815,0.06489491887246501
-3805,0.03948436207925177
-3795,0.1415482086673876
-3785,0.020937113238920446
-3775,0.07222133107339346
-3765,0.17451768345986807
-3755,0.12051730580483877
-3745,0.1513723892704153
-3735,0.07753587193642986
-3725,0.011199240161527513
-3715,0.10030236668740677
-3705,0.040193514300932875
-3695,0.08776956029092275
-3685,0.1923044724002967
-3675,0.08433652348672283
-3665,0.04236426777993607
-3655,0.1902296585575236
-3645,0.07324634022866583
-3635,0.14342732854043483
-3625,0.12248616643105947
-3615,0.06946311421548224
-3605,0.16273122258340322
-3595,0.14397025532876384
-3585,0.15361285634194743
-3575,0.03125873036538529
-3565,0.02348046727334463
-3555,0.06221299595986807
-3545,-0.06541475825155807
-3535,0.0011294884220252044
-3525,-0.04095406107748545
-3515,0.008975176288236852
-3505,0.05868678517495596
-3495,-0.005541272686372167
-3485,-0.024804730938326358
-3475,0.11545262761269903
-3465,-0.04540352396811009
-3455,0.097442488147367
-3445,0.033085970355619665
-3435,-0.0010545211299763935
-3425,0.0896958870426321
-3415,0.044205049945462704
-3405,-0.012392278240572097
-3395,0.08132892079507315
-3385,0.1380712074772017
-3375,0.1168201965824256
-3365,0.09020762868081533
-3355,0.10670886464272833
-3345,0.08164592213784694
