time,GISP2seierstad14d18O_decavg_d18O
-6935,-34.61912499999999
-6925,-34.68762499999999
-6915,-34.765125
-6905,-34.63912499999999
-6895,-34.346625
-6885,-34.210875
-6875,-34.203375
-6865,-34.300374999999995
-6855,-34.482875
-6845,-34.481125
-6835,-34.328624999999995
-6825,-34.1445
-6815,-33.9345
-6805,-33.912875
-6795,-34.04537500000001
-6785,-34.13937500000001
-6775,-34.20187500000001
-6765,-34.192875
-6755,-34.125375000000005
-6745,-34.16375000000001
-6735,-34.28875000000001
-6725,-34.486625
-6715,-34.744125
-6705,-34.851749999999996
-6695,-34.836749999999995
-6685,-34.831374999999994
-6675,-34.83387499999999
-6665,-34.797875000000005
-6655,-34.730375
-6645,-34.66287500000001
-6635,-34.595375
-6625,-34.675
-6615,-34.87500000000001
-6605,-34.991125
-6595,-35.038624999999996
-6585,-34.9555
-6575,-34.765499999999996
-6565,-34.722624999999994
-6555,-34.800124999999994
-6545,-34.924375
-6535,-35.086875
-6525,-35.0555
-6515,-34.865500000000004
-6505,-34.77175
-6495,-34.75675
-6485,-34.789874999999995
-6475,-34.86237499999999
-6465,-34.83725
-6455,-34.73225
-6445,-34.711125
-6435,-34.758625
-6425,-34.8515
-6415,-34.9815
-6405,-35.0565
-6395,-35.0865
-6385,-34.9185
-6375,-34.5885
-6365,-34.52524999999999
-6355,-34.680249999999994
-6345,-34.75962500000001
-6335,-34.777125
-6325,-34.73275000000001
-6315,-34.63775
-6305,-34.575750000000006
-6295,-34.54074999999999
-6285,-34.6075
-6275,-34.75750000000001
-6265,-34.936375000000005
-6255,-35.138875
-6245,-35.18875
-6235,-35.113749999999996
-6225,-35.062124999999995
-6215,-35.029624999999996
-6205,-34.991625
-6195,-34.949125
-6185,-34.86812499999999
-6175,-34.755624999999995
-6165,-34.656875
-6155,-34.569375
-6145,-34.509375
-6135,-34.471875
-6125,-34.46325
-6115,-34.47825
-6105,-34.58125
-6095,-34.75625
-6085,-34.972500000000004
-6075,-35.222500000000004
-6065,-35.2635
-6055,-35.133500000000005
-6045,-34.96775000000001
-6035,-34.77275
-6025,-34.77025
-6015,-34.92525
-6005,-34.935874999999996
-5995,-34.82837500000001
-5985,-34.686499999999995
-5975,-34.5165
-5965,-34.512874999999994
-5955,-34.645375
-5945,-34.68300000000001
-5935,-34.643
-5925,-34.585125000000005
-5915,-34.512625
-5905,-34.57075
-5895,-34.735749999999996
-5885,-34.79075
-5875,-34.75574999999999
-5865,-34.6905
-5855,-34.600500000000004
-5845,-34.54075
-5835,-34.505750000000006
-5825,-34.573875
-5815,-34.726375000000004
-5805,-34.848625
-5795,-34.94612499999999
-5785,-34.908874999999995
-5775,-34.761374999999994
-5765,-34.689499999999995
-5755,-34.6795
-5745,-34.662625
-5735,-34.640125
-5725,-34.70974999999999
-5715,-34.85474999999999
-5705,-34.87737500000001
-5695,-34.799875
-5685,-34.72925
-5675,-34.66425
-5665,-34.635
-5655,-34.635
-5645,-34.600625
-5635,-34.538125
-5625,-34.567750000000004
-5615,-34.67274999999999
-5605,-34.7145
-5595,-34.7045
-5585,-34.66975
-5575,-34.61475
-5565,-34.579
-5555,-34.559000000000005
-5545,-34.55825
-5535,-34.573249999999994
-5525,-34.57449999999999
-5515,-34.5645
-5505,-34.558625
-5495,-34.556125
-5485,-34.5385
-5475,-34.5085
-5465,-34.507375
-5455,-34.529875
-5445,-34.61975000000001
-5435,-34.76475
-5425,-34.80800000000001
-5415,-34.768
-5405,-34.75825
-5395,-34.773250000000004
-5385,-34.91337500000001
-5375,-35.155875
-5365,-35.31175
-5355,-35.396750000000004
-5345,-35.315375
-5335,-35.09787499999999
-5325,-34.968375
-5315,-34.910875
-5305,-34.911125
-5295,-34.958625000000005
-5285,-34.984125
-5275,-34.991625
-5265,-35.048625
-5255,-35.146125000000005
-5245,-34.9755
-5235,-34.5855
-5225,-34.498
-5215,-34.658
-5205,-34.72724999999999
-5195,-34.722249999999995
-5185,-34.653999999999996
-5175,-34.534000000000006
-5165,-34.436
-5155,-34.356
-5145,-34.354375
-5135,-34.416875
-5125,-34.46287500000001
-5115,-34.495375
-5105,-34.497625
-5095,-34.475125000000006
-5085,-34.586000000000006
-5075,-34.806
-5065,-34.911874999999995
-5055,-34.924375
-5045,-34.833749999999995
-5035,-34.658750000000005
-5025,-34.57999999999999
-5015,-34.57999999999999
-5005,-34.62949999999999
-4995,-34.719500000000004
-4985,-34.74900000000001
-4975,-34.729
-4965,-34.742
-4955,-34.782
-4945,-34.724374999999995
-4935,-34.586875
-4925,-34.52225
-4915,-34.517250000000004
-4905,-34.52187500000001
-4895,-34.534375000000004
-4885,-34.51937500000001
-4875,-34.481875
-4865,-34.460875
-4855,-34.453375
-4845,-34.46512500000001
-4835,-34.492625000000004
-4825,-34.604
-4815,-34.784000000000006
-4805,-34.871875
-4795,-34.884375
-4785,-34.94775
-4775,-35.052749999999996
-4765,-35.15775
-4755,-35.26275
-4745,-35.308625
-4735,-35.306125
-4725,-35.251375
-4715,-35.153875
-4705,-35.037124999999996
-4695,-34.904624999999996
-4685,-34.807875
-4675,-34.740375
-4665,-34.813125
-4655,-35.000625
-4645,-35.25275
-4635,-35.55775
-4625,-35.58775
-4615,-35.39275
-4605,-35.251375
-4595,-35.153875
-4585,-35.077
-4575,-35.016999999999996
-4565,-34.88137499999999
-4555,-34.68387499999999
-4545,-34.688500000000005
-4535,-34.8585
-4525,-34.91575
-4515,-34.88074999999999
-4505,-34.829249999999995
-4495,-34.76425
-4485,-34.785875000000004
-4475,-34.878375
-4465,-35.04925000000001
-4455,-35.28425
-4445,-35.286874999999995
-4435,-35.099374999999995
-4425,-34.977875000000004
-4415,-34.910375
-4405,-34.86625
-4395,-34.84125000000001
-4385,-34.852000000000004
-4375,-34.891999999999996
-4365,-34.9925
-4355,-35.1425
-4345,-35.23475
-4335,-35.27975
-4325,-35.245
-4315,-35.145
-4305,-34.996875
-4295,-34.809375
-4285,-34.714
-4275,-34.694
-4265,-34.612125000000006
-4255,-34.479625
-4245,-34.468125
-4235,-34.555625
-4225,-34.681625000000004
-4215,-34.839125
-4205,-34.864625000000004
-4195,-34.782125
-4185,-34.73125
-4175,-34.70625
-4165,-34.652375000000006
-4155,-34.574875
-4145,-34.599125
-4135,-34.706624999999995
-4125,-34.757749999999994
-4115,-34.76275
-4105,-34.606874999999995
-4095,-34.31937500000001
-4085,-34.2615
-4075,-34.39149999999999
-4065,-34.53387500000001
-4055,-34.686375
-4045,-34.71925
-4035,-34.654250000000005
-4025,-34.726749999999996
-4015,-34.91175
-4005,-34.923500000000004
-3995,-34.79350000000001
-3985,-34.626374999999996
-3975,-34.428875
-3965,-34.428000000000004
-3955,-34.588
-3945,-34.741125
-3935,-34.888625
-3925,-35.00175
-3915,-35.08675
-3905,-35.0315
-3895,-34.86149999999999
-3885,-34.818
-3875,-34.878
-3865,-34.9545
-3855,-35.0445
-3845,-35.064375
-3835,-35.026875000000004
-3825,-34.99625
-3815,-34.971250000000005
-3805,-34.91875
-3795,-34.84375
-3785,-34.79075
-3775,-34.75574999999999
-3765,-34.66987499999999
-3755,-34.54237499999999
-3745,-34.50699999999999
-3735,-34.547
-3725,-34.65024999999999
-3715,-34.805249999999994
-3705,-34.89425
-3695,-34.92925
-3685,-34.888625000000005
-3675,-34.786125
-3665,-34.719375
-3655,-34.681875000000005
-3645,-34.671875
-3635,-34.684375
-3625,-34.633624999999995
-3615,-34.531124999999996
-3605,-34.469875
-3595,-34.442375
-3585,-34.453375
-3575,-34.495875
-3565,-34.58925000000001
-3555,-34.72425
-3545,-34.8455
-3535,-34.955499999999994
-3525,-34.95825
-3515,-34.87325
-3505,-34.693375
-3495,-34.43587500000001
-3485,-34.296625
-3475,-34.254125
-3465,-34.335375000000006
-3455,-34.517875
-3445,-34.608250000000005
-3435,-34.623250000000006
-3425,-34.675374999999995
-3415,-34.757875
-3405,-34.840375
-3395,-34.922875
-3385,-34.997125
-3375,-35.06462499999999
-3365,-35.079874999999994
-3355,-35.052375000000005
-3345,-34.958875
-3335,-34.811375
