,time,GISP2seierstad14d18O_decavg_d18O__detrendedlinear
205,-5995,-0.15194748640703892
206,-5985,-0.015914062493109782
207,-5975,0.15449436142083073
208,-5965,0.1887777853347643
209,-5955,0.056686209248702824
210,-5945,0.002219633162631851
211,-5935,0.0426280570765627
212,-5925,0.09766148099049587
213,-5915,0.1705699049044327
214,-5905,0.13660332881836013
215,-5895,-0.027988247267707322
216,-5885,-0.10257982335377136
217,-5875,-0.06717139943983597
218,-5865,-0.007012975525896081
219,-5855,0.08339544838802482
220,-5845,0.14905387230196254
221,-5835,0.18446229621589083
222,-5825,0.1354957201298319
223,-5815,-0.016595855956239802
224,-5805,-0.14393743204230702
225,-5795,-0.2410290081283719
226,-5785,-0.22787058421443618
227,-5775,-0.07996216030049652
228,-5765,0.006071263613428357
229,-5755,0.016479687527365172
230,-5745,0.03251311144129687
231,-5735,0.05542153535522942
232,-5725,0.002954959269160895
233,-5715,-0.14163661681691053
234,-5705,-0.1861031929029764
235,-5695,-0.10819476898904412
236,-5685,-0.03591134507510674
237,-5675,0.029497078838829793
238,-5665,0.06565550275276166
239,-5655,0.06606392666669336
240,-5645,0.0945973505806279
241,-5635,0.1575057744945667
242,-5625,0.14503919840849733
243,-5615,0.04044762232243215
244,-5605,-0.012393953763641719
245,-5595,-0.0019855298497049034
246,-5585,0.02867289406422202
247,-5575,0.08408131797815344
248,-5565,0.1237397418920878
249,-5555,0.14414816580602263
250,-5545,0.1488065897199604
251,-5535,0.13421501363389865
252,-5525,0.13087343754782665
253,-5515,0.14128186146175636
254,-5505,0.14831528537569483
255,-5495,0.15122370928962425
256,-5485,0.16650713320355948
257,-5475,0.1969155571174923
258,-5465,0.20369898103142248
259,-5455,0.18160740494536043
260,-5445,0.10439082885929452
261,-5435,-0.04020074722677691
262,-5425,-0.10154232331284163
263,-5415,-0.061133899398910785
264,-5405,-0.04547547548497022
265,-5395,-0.06006705157104619
266,-5385,-0.17703362765711006
267,-5375,-0.4191252037431781
268,-5365,-0.5903417798292452
269,-5355,-0.6749333559153143
270,-5345,-0.6233999320013766
271,-5335,-0.4054915080874437
272,-5325,-0.2595830841735136
273,-5315,-0.20167466025957026
274,-5305,-0.19101623634563936
275,-5295,-0.2381078124317071
276,-5285,-0.26719938851777414
277,-5275,-0.2742909646038356
278,-5265,-0.32188254068990574
279,-5255,-0.41897411677597773
280,-5245,-0.2966906928620432
281,-5235,0.09371773105188907
282,-5225,0.23662615496583328
283,-5215,0.07703457887976128
284,-5205,-0.00830699720631145
285,-5195,-0.0028985732923771934
286,-5185,0.05425985062154837
287,-5175,0.1746682745354846
288,-5165,0.2770766984494202
289,-5155,0.35748512236335017
290,-5145,0.37376854627729017
291,-5135,0.311676970191229
292,-5125,0.2630853941051541
293,-5115,0.23099381801908692
294,-5105,0.22365224193301714
295,-5095,0.24656066584694258
296,-5085,0.16034408976088343
297,-5075,-0.05924748632518373
298,-5065,-0.18546406241124203
299,-5055,-0.19755563849731317
300,-5045,-0.12527221458337578
301,-5035,0.05013620933056018
302,-5025,0.1467946332444896
303,-5015,0.1472030571584213
304,-5005,0.10711148107235147
305,-4995,0.01751990498628686
306,-4985,-0.022571671099782975
307,-4975,-0.0021632471858481495
308,-4965,-0.008754823271914347
309,-4955,-0.048346399357981795
310,-4945,-0.008062975444040887
311,-4935,0.12984544846989365
312,-4925,0.20812887238382416
313,-4915,0.2135372962977513
314,-4905,0.21107072021168705
315,-4895,0.1989791441256159
316,-4885,0.2093875680395456
317,-4875,0.24729599195347873
318,-4865,0.27170441586741134
319,-4855,0.27961283978135043
320,-4845,0.27177126369528537
321,-4835,0.24467968760921366
322,-4825,0.14896311152315178
323,-4815,-0.030628464562916236
324,-4805,-0.13484504064898317
325,-4795,-0.1469366167350472
326,-4785,-0.2006531928211146
327,-4775,-0.3052447689071869
328,-4765,-0.40983634499324495
329,-4755,-0.5144279210793101
330,-4745,-0.5706444971653823
331,-4735,-0.5677360732514529
332,-4725,-0.5220776493375183
333,-4715,-0.42416922542358293
334,-4705,-0.3105108015096434
335,-4695,-0.1776023775957114
336,-4685,-0.07394395368178408
337,-4675,-0.006035529767842718
338,-4665,-0.05287710585391636
339,-4655,-0.23996868193998466
340,-4645,-0.4799352580260532
341,-4635,-0.7845268341121212
342,-4625,-0.8641184101981807
343,-4615,-0.6687099862842487
344,-4605,-0.5171765623703166
345,-4595,-0.41926813845638833
346,-4585,-0.3382347145424447
347,-4575,-0.2778262906285107
348,-4565,-0.15554286671457618
349,-4555,0.042365557199346426
350,-4545,0.07489898111328586
351,-4535,-0.09469259497278415
352,-4525,-0.1720341710588471
353,-4515,-0.1366257471449117
354,-4505,-0.08771732323098291
355,-4495,-0.022308899317053488
356,-4485,-0.027775475403117866
357,-4475,-0.1198670514891873
358,-4465,-0.27608362757525384
359,-4455,-0.5106752036613216
360,-4445,-0.5551417797473803
361,-4435,-0.3672333558334486
362,-4425,-0.23332493191951897
363,-4415,-0.16541650800558472
364,-4405,-0.11663308409164586
365,-4395,-0.09122466017771558
366,-4385,-0.09506623626378286
367,-4375,-0.1346578123498503
368,-4365,-0.22374938843591963
369,-4355,-0.3733409645219794
370,-4345,-0.47568254060804804
371,-4335,-0.5202741166941109
372,-4325,-0.49961569278018203
373,-4315,-0.399207268866256
374,-4305,-0.2594238449523161
375,-4295,-0.07151542103838437
376,-4285,0.041018002875546244
377,-4275,0.061426426789473965
378,-4265,0.13245985070341249
379,-4255,0.26536827461734447
380,-4245,0.2992766985312798
381,-4235,0.21218512244521293
382,-4225,0.09359354635914485
383,-4215,-0.0634980297269152
384,-4205,-0.11258960581298538
385,-4195,-0.029681181899050557
386,-4185,0.02735224201487796
387,-4175,0.05276066592880824
388,-4165,0.10179408984274829
389,-4155,0.17970251375668056
390,-4145,0.17436093767061323
391,-4135,0.06726936158455032
392,-4125,0.006302785498483843
393,-4115,0.001711209412412984
394,-4105,0.1287446333263489
395,-4095,0.416653057240282
396,-4085,0.5166864811542098
397,-4075,0.38709490506814603
398,-4065,0.24737832898208012
399,-4055,0.09528675289601551
400,-4045,0.04107017680995284
401,-4035,0.10647860072388937
402,-4025,0.059387024637814534
403,-4015,-0.12520455144825604
404,-4005,-0.1680461275343248
405,-3995,-0.03763770362039054
406,-3985,0.1231457202935502
407,-3975,0.3210541442074728
408,-3965,0.3580875681214124
409,-3955,0.1984959920353475
410,-3945,0.04452941594927751
411,-3935,-0.10256216013678454
412,-3925,-0.22152873622285796
413,-3915,-0.3061203123089271
414,-3905,-0.27596188839499547
415,-3895,-0.10555346448104785
416,-3885,-0.03864504056711837
417,-3875,-0.09823661665318895
418,-3865,-0.17132819273926003
419,-3855,-0.26091976882532464
420,-3845,-0.29313634491138885
421,-3835,-0.2552279209974557
422,-3825,-0.2229444970835317
423,-3815,-0.19753607316959432
424,-3805,-0.14962764925564898
425,-3795,-0.07421922534172865
426,-3785,-0.01681080142778768
427,-3775,0.018597622486147714
428,-3765,0.09563104640007936
429,-3755,0.2235394703140159
430,-3745,0.27607289422794423
431,-3735,0.23648131814187678
432,-3725,0.14513974205581093
433,-3715,-0.00945183403025851
434,-3705,-0.1100434101163259
435,-3695,-0.1446349862023908
436,-3685,-0.11735156228845511
437,-3675,-0.014443138374524267
438,-3665,0.05921528553941613
439,-3655,0.09712370945334214
440,-3645,0.11253213336728152
441,-3635,0.10044055728121037
442,-3625,0.14009898119514475
443,-3615,0.2430074051090756
444,-3605,0.3121658290230087
445,-3595,0.3400742529369438
446,-3585,0.33648267685087774
447,-3575,0.29439110076481256
448,-3565,0.21067452467874404
449,-3555,0.07608294859267772
450,-3545,-0.047258627493391714
451,-3535,-0.15685020357945234
452,-3525,-0.1786917796655203
453,-3515,-0.09328335575158775
454,-3505,0.06975006816233531
455,-3495,0.3276584920762744
456,-3485,0.48881691599019916
457,-3475,0.531725339904142
458,-3465,0.47338376381807734
459,-3455,0.2912921877320045
460,-3445,0.18457561164593983
461,-3435,0.16998403555987096
462,-3425,0.12501745947380272
463,-3415,0.042925883387738395
464,-3405,-0.03916569269833303
465,-3395,-0.12125726878439735
466,-3385,-0.19659884487045787
467,-3375,-0.2636904209565287
468,-3365,-0.2880319970425944
469,-3355,-0.2601235731286593
470,-3345,-0.17821514921472925
471,-3335,-0.0303067253007967
472,-3325,0.10972669861313733
473,-3315,0.2401351225270716
474,-3305,0.37841854644100437
475,-3295,0.526326970354944
476,-3285,0.5943603942688753
477,-3275,0.5647688181828059
478,-3265,0.4879272420967382
479,-3255,0.3533356660106719
480,-3245,0.2772440899246078
481,-3235,0.27265251383853695
482,-3225,0.2736859377524681
483,-3215,0.28159436166640006
484,-3205,0.2557527855803414
485,-3195,0.18866120949427057
486,-3185,0.15194463340819908
487,-3175,0.15235305732213078
488,-3165,0.22701148123606174
489,-3155,0.3924199051500068
490,-3145,0.4205783290639431
491,-3135,0.28098675297787423
492,-3125,0.11889517689180451
493,-3115,-0.07069639919426152
494,-3105,-0.09266297528033363
495,-3095,0.09024544863360262
496,-3085,0.2056538725475363
497,-3075,0.23856229646146687
498,-3065,0.2039707203754091
499,-3055,0.08687914428934107
500,-3045,0.024912568203269814
501,-3035,0.03032099211720407
502,-3025,0.0278544160311327
503,-3015,0.01576283994507577
504,-3005,-0.05370373614099577
505,-2995,-0.19329531222706464
506,-2985,-0.28563688831312817
507,-2975,-0.32022846439919306
508,-2965,-0.2760700404852656
509,-2955,-0.13566161657132625
510,-2945,-0.004253192657394322
511,-2935,0.11615523125653482
512,-2925,0.22081365517047402
513,-2915,0.3062220790844066
514,-2905,0.2937555029983301
515,-2895,0.1616639269122686
516,-2885,0.07794735082620718
517,-2875,0.0533557747401332
518,-2865,0.10301419865406558
519,-2855,0.24342262256799785
520,-2845,0.28483104648192636
521,-2835,0.20523947039586687
522,-2825,0.1458978943097975
523,-2815,0.1113063182237326
524,-2805,0.09021474213766112
525,-2795,0.08562316605160447
526,-2785,0.028156589965533385
527,-2775,-0.09393498612053719
528,-2765,-0.19127656220660327
529,-2755,-0.258368138292667
530,-2745,-0.18933471437873095
531,-2735,0.046073709535207286
532,-2725,0.24548213344913705
533,-2715,0.4008905573630699
534,-2705,0.39204898127700005
535,-2695,0.1824574051909451
536,-2685,-0.01025917089512518
537,-2675,-0.18235074698120002
538,-2665,-0.23519232306726678
539,-2655,-0.14228389915333395
540,-2645,-0.07750047523940395
541,-2635,-0.04709205132547112
542,-2625,-0.04480862741153402
543,-2615,-0.07690020349760118
544,-2605,-0.08874177958366403
545,-2595,-0.07583335566972949
546,-2585,-0.04379993175579955
547,-2575,0.011608492158131867
548,-2565,0.09176691607207488
549,-2555,0.2021753399859989
550,-2545,0.28108376389993595
551,-2535,0.3214921878138668
552,-2525,0.27302561172779605
553,-2515,0.11593403564173599
554,-2505,0.030842459555671553
555,-2495,0.03375088346960098
556,-2485,0.023159307383529892
557,-2475,-0.003932268702534714
558,-2465,-0.07714884478859574
559,-2455,-0.2067404208746666
560,-2445,-0.24745699696073586
561,-2435,-0.1795485730468087
562,-2425,-0.11839014913286405
563,-2415,-0.06548172521893747
564,-2405,0.030176698694994286
565,-2395,0.17808512260892684
566,-2385,0.3473685465228584
567,-2375,0.5427769704367975
568,-2365,0.6988103943507298
569,-2355,0.8067188182646632
